company_id,employees,marketing_spend_k,rd_spend_k,admin_spend_k,years_in_business,num_products,annual_revenue_k
1,910,57.1,264.0,215.3,8,9,536.7
2,3822,470.9,157.2,243.0,5,6,864.2
3,3142,204.8,274.2,148.6,29,2,768.1
4,516,263.7,139.5,255.8,4,17,533.3
5,4476,420.5,108.0,235.3,12,5,963.2
6,3494,341.1,200.9,38.5,2,6,812.3
7,3221,370.3,278.7,32.8,27,12,929.0
8,2969,112.4,142.6,193.8,31,10,692.0
9,180,275.3,375.0,117.3,36,6,726.2
10,1735,350.9,20.5,78.6,36,8,624.9
11,819,122.0,170.1,182.3,26,2,484.9
12,2441,95.7,387.2,115.6,27,12,888.9
13,2483,491.3,221.4,170.4,5,13,853.2
14,1234,263.2,172.3,148.8,20,7,604.2
15,4605,137.8,229.6,183.7,11,10,778.3
16,3435,498.2,232.5,132.1,10,13,936.5
17,4167,483.1,294.0,215.3,38,17,1255.5
18,4893,283.6,55.4,70.4,6,14,764.0
19,2954,442.5,103.8,215.0,8,2,683.9
20,524,102.5,234.3,135.3,23,11,541.3
21,1132,146.6,347.5,264.8,26,1,694.8
22,2608,353.2,226.9,164.3,12,19,845.0
23,2097,424.9,99.2,292.5,26,4,576.6
24,2797,429.6,273.5,188.5,13,19,962.1
25,1025,208.2,297.3,82.7,18,11,727.1
26,1856,445.0,99.1,250.1,25,8,744.9
27,239,427.0,154.2,116.6,33,11,721.5
28,2784,468.5,216.1,117.3,12,4,788.6
29,3055,394.8,201.1,28.9,36,17,895.0
30,4708,337.8,158.9,173.6,4,7,884.9
31,1949,294.5,122.6,169.6,5,8,607.0
32,1317,192.4,44.5,119.7,37,3,476.0
33,1578,470.7,26.1,270.4,8,2,600.0
34,3252,487.1,383.6,56.0,28,15,1176.9
35,3606,149.1,339.6,112.4,31,5,899.7
36,3940,159.6,145.2,,9,1,671.7
37,696,248.0,382.9,45.8,29,4,745.1
38,2938,229.7,272.3,154.7,14,15,887.4
39,2485,497.3,195.6,212.6,22,19,1013.5
40,650,96.2,199.7,163.3,11,3,482.2
41,2413,18.9,37.9,64.0,23,11,429.1
42,2111,252.0,41.2,125.6,1,17,584.2
43,291,97.6,243.0,20.7,37,13,553.8
44,2091,189.6,223.7,263.1,21,11,689.5
45,2874,374.6,89.0,43.7,26,2,657.8
46,2662,363.3,378.7,187.2,36,9,1049.6
47,1413,160.9,313.6,296.2,23,2,688.0
48,1528,275.8,49.8,170.2,1,9,499.1
49,2606,259.3,372.7,278.7,15,9,899.3
50,825,321.8,389.8,86.1,21,8,800.0
51,4064,132.7,398.4,232.8,9,17,1043.9
52,84,299.0,27.1,168.8,9,1,261.3
53,3202,489.7,296.1,221.7,10,11,1018.7
54,2005,248.5,220.6,37.5,26,8,709.3
55,1635,454.0,283.8,61.4,35,10,933.0
56,3993,222.9,387.6,57.3,25,7,937.6
57,3123,181.5,276.8,212.4,26,3,851.5
58,1071,326.1,335.6,,11,3,737.4
59,3511,337.8,347.4,229.9,38,18,1149.4
60,2663,433.4,336.2,28.5,2,5,859.9
61,3893,122.8,173.3,,7,12,769.0
62,1550,254.6,92.9,119.2,18,12,580.2
63,4848,290.3,161.7,,27,19,1058.6
64,211,386.6,357.3,49.4,34,6,720.2
65,4347,31.4,62.9,226.5,27,2,611.2
66,2031,497.3,207.8,71.0,17,12,871.9
67,1045,240.3,97.1,177.9,24,19,608.4
68,4961,147.0,234.6,255.4,25,5,883.3
69,3392,442.9,345.9,45.0,7,12,1007.6
70,4601,376.4,352.7,169.9,6,17,1147.8
71,3848,477.0,98.5,85.3,24,17,881.1
72,1325,172.1,363.5,116.0,33,10,821.4
73,1066,280.9,238.8,152.7,29,17,745.4
74,387,290.4,143.3,119.4,22,15,593.2
75,928,490.4,284.7,201.7,26,12,893.6
76,1126,46.9,195.3,154.3,28,16,558.1
77,4937,159.8,154.3,183.6,21,19,917.0
78,4043,103.5,283.5,226.3,7,8,728.2
79,4909,141.6,103.2,176.2,17,17,863.3
80,429,247.8,135.4,184.2,20,5,525.7
81,542,192.6,176.6,178.0,20,16,514.5
82,2112,203.4,105.2,126.1,22,6,552.3
83,3934,423.7,165.1,114.5,28,8,883.5
84,114,465.7,230.7,271.9,7,18,744.8
85,2618,44.5,297.7,190.1,1,12,707.5
86,2077,112.4,308.0,,32,15,829.6
87,2745,338.9,330.0,159.5,13,9,949.7
88,1545,185.7,299.0,112.5,30,13,817.4
89,441,134.5,274.0,281.4,23,15,634.9
90,4564,154.7,98.8,22.1,19,10,691.3
91,4524,168.0,163.1,83.1,32,16,891.4
92,3611,425.8,193.7,122.3,30,7,958.4
93,2328,76.9,37.7,156.6,29,17,513.7
94,3149,357.4,213.7,258.2,29,7,956.8
95,250,280.9,177.4,44.6,30,14,642.8
96,4925,155.3,321.8,245.6,16,15,1023.4
97,3154,215.7,391.3,35.6,19,7,873.8
98,4648,135.5,224.6,255.8,18,9,842.9
99,2504,309.6,132.5,34.5,1,19,718.5
100,3695,50.0,22.1,25.1,14,16,560.1
101,854,12.5,370.2,215.1,2,8,599.3
102,2781,317.7,368.1,299.2,28,18,1053.6
103,2823,105.2,104.9,271.1,30,18,728.3
104,1620,44.8,279.7,181.3,38,7,654.2
105,2740,204.4,34.8,276.9,4,3,511.5
106,3890,34.9,70.7,21.5,1,18,586.8
107,1078,444.4,90.6,293.0,8,10,660.7
108,552,23.5,121.3,157.4,29,7,412.9
109,4543,293.6,398.4,222.4,39,17,1252.9
110,920,224.9,280.3,249.8,3,14,693.6
111,4538,339.3,156.8,221.2,32,3,873.1
112,256,170.8,296.2,169.8,10,12,603.9
113,1534,86.0,366.5,153.5,10,13,761.2
114,913,491.1,383.7,254.8,19,2,893.9
115,2840,421.1,27.9,77.4,34,3,651.4
116,613,431.6,160.8,291.0,33,5,683.4
117,4241,132.6,47.2,219.1,23,11,716.2
118,1807,29.0,137.6,75.9,28,8,464.9
119,1728,158.6,72.0,226.1,32,12,519.8
120,3292,273.2,260.5,168.4,7,7,801.3
121,4686,170.1,158.4,218.0,29,15,879.6
122,1109,415.7,95.6,235.0,8,17,668.9
123,1772,143.1,110.0,44.4,1,4,354.6
124,3364,483.0,147.3,161.7,3,13,901.3
125,3207,234.1,107.7,281.0,24,18,776.7
126,2675,422.6,184.0,109.8,23,1,816.5
127,2779,105.2,17.8,186.3,8,16,520.3
128,1647,211.6,115.5,123.4,37,13,645.2
129,3110,352.8,167.4,147.2,3,10,765.3
130,2743,77.8,243.1,173.6,33,12,728.4
131,4941,75.0,112.0,173.7,28,2,816.0
132,3677,485.1,57.6,76.5,8,3,726.7
133,1413,360.2,35.1,211.7,34,10,665.4
134,2031,30.1,376.5,44.6,35,2,653.3
135,1713,205.4,169.6,58.9,32,13,686.6
136,1579,222.4,234.6,20.8,24,13,719.2
137,2088,374.6,368.1,52.7,14,18,966.0
138,3352,132.9,37.7,152.5,32,3,551.9
139,2287,100.3,351.3,189.7,16,7,731.2
140,1356,49.6,222.9,242.4,4,14,533.1
141,4079,219.9,70.1,49.9,37,17,921.9
142,2725,347.4,167.4,258.2,21,12,823.9
143,1332,38.5,312.2,228.9,14,16,686.0
144,759,458.5,194.7,134.4,31,12,841.5
145,4794,226.8,394.2,281.2,18,15,1105.5
146,4463,127.5,153.8,297.5,7,10,769.1
147,3798,56.0,301.1,77.4,10,7,745.3
148,4829,99.6,160.2,126.2,7,5,716.7
