applicant_id,annual_income,loan_amount,credit_score,employment_years,num_existing_loans,loan_purpose,defaulted
1,65007.61,33769.91,674,6,1,business,0
2,79389.31,36683.37,728,11,1,education,0
3,41632.55,15862.18,754,5,1,debt_consolidation,0
4,33305.62,14660.97,688,2,0,personal,0
5,95247.99,14688.12,662,4,1,debt_consolidation,0
6,52951.96,22432.86,542,6,3,education,1
7,47103.09,4804.42,555,8,0,personal,0
8,47050.73,6340.33,474,15,1,home_improvement,0
9,101477.41,7630.7,693,12,0,education,0
10,55881.51,9614.89,753,6,2,business,0
11,61169.98,16543.24,489,6,4,education,0
12,45339.89,27238.87,764,6,0,education,0
13,49393.78,25627.36,791,5,0,education,0
14,41837.65,4446.64,694,4,2,personal,0
15,62613.14,50000.0,803,4,1,education,0
16,28129.46,50000.0,676,8,1,home_improvement,1
17,55097.71,42179.97,579,10,0,education,0
18,40819.27,8244.08,653,6,1,business,0
19,37916.72,9463.99,808,8,3,debt_consolidation,0
20,61274.34,4435.46,630,10,2,personal,0
21,49036.21,16325.77,713,4,2,business,0
22,29832.95,16163.43,723,6,1,home_improvement,0
23,31494.97,10354.85,774,7,2,education,0
24,54199.36,7048.31,530,1,3,personal,0
25,33147.09,15610.09,790,5,1,personal,0
26,21405.72,11867.88,604,12,1,personal,1
27,74004.26,17546.91,801,5,1,business,0
28,26399.49,39862.47,650,5,1,debt_consolidation,1
29,41021.08,21342.73,651,8,3,debt_consolidation,1
30,31002.96,15831.64,741,12,2,home_improvement,0
31,30596.23,15345.93,784,4,2,business,1
32,58108.72,6460.34,642,8,1,business,0
33,35320.93,12883.84,657,1,3,business,0
34,43840.31,16612.23,631,8,2,education,0
35,20000.0,25479.74,633,9,1,business,1
36,117579.89,21362.4,719,9,1,business,0
37,58634.02,11148.16,672,5,1,personal,0
38,98535.46,34958.32,780,7,0,personal,0
39,92852.63,3413.64,624,7,2,personal,0
40,88769.21,19889.82,740,8,1,business,0
41,43312.05,6845.99,736,11,2,business,0
42,50157.71,39038.07,657,7,3,personal,1
43,29786.45,26730.89,659,7,1,home_improvement,1
44,51224.97,4772.54,718,5,1,home_improvement,0
45,26313.63,6615.16,624,7,2,debt_consolidation,0
46,99340.7,3972.68,650,8,2,education,0
47,76756.49,22712.52,575,9,2,education,0
48,66931.65,18337.63,607,4,2,debt_consolidation,0
49,37023.11,25218.87,597,13,3,personal,0
50,87908.67,2067.45,605,7,0,personal,0
51,22237.95,7524.35,539,8,1,business,0
52,46500.24,22342.83,547,3,1,education,1
53,52921.88,32639.48,749,7,1,business,0
54,110696.52,10469.6,668,5,1,business,0
55,25643.09,16337.41,779,9,2,education,0
56,96560.4,23104.31,763,2,4,personal,0
57,87444.99,39414.87,642,8,1,home_improvement,0
58,89835.42,4496.87,605,7,0,personal,0
59,36801.19,11514.2,692,5,2,personal,0
60,61377.72,4602.77,644,3,1,business,0
61,76983.4,18432.46,730,13,4,business,0
62,56788.54,4849.9,520,4,0,business,0
63,58596.47,13355.75,706,3,0,education,0
64,62507.2,14495.98,807,7,1,education,0
65,35641.72,7580.0,648,5,0,debt_consolidation,0
66,35362.23,26935.48,729,5,1,business,0
67,72269.27,15744.21,581,5,1,education,0
68,36281.61,13805.66,631,5,0,debt_consolidation,0
69,57865.58,8225.38,609,5,1,business,0
70,25826.76,11636.47,802,4,1,business,0
