transaction_id,transaction_amount,merchant_category,hour_of_day,day_of_week,distance_from_home_km,num_transactions_last_hour,card_present,transaction_country_match,customer_age,account_age_months,is_fraud
1,57.31,restaurant,19,0,7.8,0,1,1,69,113,0
2,362.21,restaurant,6,3,0.6,1,1,1,60,152,0
3,159.01,gas_station,23,3,27.0,1,1,1,63,7,0
4,110.55,travel,7,1,3.5,3,1,1,39,86,0
5,21.35,restaurant,8,1,6.0,1,0,1,67,58,0
6,21.35,online_retail,13,6,30.6,3,1,1,37,149,0
7,8.18,restaurant,4,2,20.6,0,1,1,58,214,0
8,242.35,online_retail,20,5,3.7,1,1,1,79,161,0
9,111.29,restaurant,18,0,1.1,1,0,1,64,44,0
10,148.75,online_retail,20,5,18.9,0,1,1,60,25,0
11,3.5,restaurant,15,4,7.4,4,1,1,22,95,0
12,421.43,restaurant,23,4,21.8,0,1,1,32,208,0
13,215.37,electronics,11,3,8.8,3,1,1,73,116,0
14,29.64,online_retail,20,0,6.4,1,1,1,19,143,0
15,25.08,online_retail,3,5,9.0,0,0,1,29,157,0
16,25.31,online_retail,7,3,20.7,3,1,1,76,83,0
17,139.03,grocery,6,4,121.0,1,0,1,74,52,1
18,90.27,restaurant,14,1,0.8,2,1,1,77,17,0
19,68.86,online_retail,5,0,11.1,3,0,1,72,218,0
20,42.31,gas_station,4,0,0.5,1,1,1,24,228,0
21,114.56,grocery,13,5,9.5,0,1,0,19,36,0
22,19.03,electronics,20,6,32.5,1,0,1,25,163,0
23,42.46,online_retail,12,2,6.7,1,1,0,26,168,0
24,55.75,online_retail,9,5,40.4,0,0,1,75,151,0
25,74.07,grocery,17,1,14.9,2,1,1,44,201,0
26,185.55,restaurant,3,6,40.8,0,0,1,45,162,0
27,27.73,gas_station,7,6,21.2,1,1,1,54,186,0
28,87.64,electronics,23,6,1.6,1,0,1,32,82,0
29,108.7,online_retail,10,1,3.9,3,1,1,36,128,0
30,6.71,restaurant,16,3,7.5,3,1,1,47,80,0
31,113.24,gas_station,17,0,2.8,1,0,1,68,189,0
32,23.44,gas_station,20,3,10.2,1,0,1,30,224,0
33,9.07,electronics,10,1,9.6,1,1,1,62,156,0
34,357.84,travel,15,2,46.9,0,1,1,23,60,0
35,405.48,gas_station,11,0,8.5,0,1,1,47,160,0
36,199.28,travel,12,1,23.1,1,1,1,18,58,0
37,44.59,gas_station,15,2,42.7,1,1,1,59,82,0
38,13.33,electronics,22,5,31.4,0,0,0,76,44,0
39,139.33,grocery,20,4,3.5,1,1,1,74,162,0
40,70.61,electronics,0,6,10.3,3,1,0,55,221,0
41,16.62,electronics,15,1,6.4,0,0,1,42,149,0
42,83.03,grocery,14,4,7.7,1,1,0,52,124,0
43,5.2,grocery,5,3,6.7,1,1,1,43,1,0
44,289.05,restaurant,11,4,26.3,2,0,1,30,183,0
45,36.93,gas_station,7,1,9.0,1,0,1,36,208,0
46,131.35,restaurant,6,4,11.1,4,0,1,27,177,0
